Number,Timestamp,Country,Windspeed,Pressure
1,18-Jun-1993 00:00:00,"N/A",29,1006
1,18-Jun-1993 06:00:00,"N/A",29,1005
1,18-Jun-1993 12:00:00,"N/A",29,1005
1,18-Jun-1993 18:00:00,"N/A",35,1005
1,19-Jun-1993 00:00:00,"N/A",35,1006
1,19-Jun-1993 06:00:00,"N/A",35,1006
1,19-Jun-1993 12:00:00,"N/A",40,1000
1,19-Jun-1993 18:00:00,"N/A",40,1000
1,20-Jun-1993 00:00:00,"N/A",40,1000
1,20-Jun-1993 06:00:00,"N/A",40,1001
1,20-Jun-1993 12:00:00,"United States",35,1002
1,20-Jun-1993 18:00:00,"United States",35,1003
1,21-Jun-1993 00:00:00,"United States",35,1004
1,21-Jun-1993 06:00:00,"United States",29,1006
2,04-Aug-1993 12:00:00,"N/A",35,1010
2,04-Aug-1993 18:00:00,"N/A",35,1009
2,05-Aug-1993 00:00:00,"N/A",40,1008
2,05-Aug-1993 06:00:00,"N/A",46,1007
2,05-Aug-1993 12:00:00,"N/A",52,1006
2,05-Aug-1993 18:00:00,"N/A",52,1006
2,06-Aug-1993 00:00:00,"N/A",52,1006
2,06-Aug-1993 06:00:00,"N/A",58,1005
2,06-Aug-1993 12:00:00,"N/A",58,1005
2,06-Aug-1993 18:00:00,"N/A",58,1003
2,07-Aug-1993 00:00:00,"N/A",58,1002
2,07-Aug-1993 06:00:00,"N/A",58,1002
2,07-Aug-1993 12:00:00,"N/A",58,1002
2,07-Aug-1993 18:00:00,"N/A",52,1006
2,08-Aug-1993 00:00:00,"N/A",46,1008
2,08-Aug-1993 06:00:00,"N/A",46,1007
2,08-Aug-1993 12:00:00,"Venezuela",46,1007
2,08-Aug-1993 18:00:00,"Venezuela",46,1007
2,09-Aug-1993 00:00:00,"Colombia",46,1006
2,09-Aug-1993 06:00:00,"N/A",40,1005
2,09-Aug-1993 12:00:00,"N/A",35,1004
2,09-Aug-1993 18:00:00,"N/A",35,1005
2,10-Aug-1993 00:00:00,"N/A",35,1004
2,10-Aug-1993 06:00:00,"N/A",40,1003
2,10-Aug-1993 12:00:00,"N/A",46,1002
2,10-Aug-1993 18:00:00,"Nicaragua",40,1004
2,11-Aug-1993 00:00:00,"Nicaragua",29,1007
2,11-Aug-1993 06:00:00,"Nicaragua",23,1009
2,11-Aug-1993 12:00:00,"N/A",23,1010
3,14-Aug-1993 12:00:00,"N/A",35,1012
3,14-Aug-1993 18:00:00,"Martinique",40,1012
3,15-Aug-1993 00:00:00,"N/A",40,1011
3,15-Aug-1993 06:00:00,"N/A",40,1011
3,15-Aug-1993 12:00:00,"N/A",40,1013
3,15-Aug-1993 18:00:00,"N/A",40,1012
3,16-Aug-1993 00:00:00,"N/A",40,1010
3,16-Aug-1993 06:00:00,"N/A",40,1008
3,16-Aug-1993 12:00:00,"N/A",46,1007
3,16-Aug-1993 18:00:00,"N/A",40,1008
3,17-Aug-1993 00:00:00,"Dominican Republic",35,1010
5,22-Aug-1993 18:00:00,"N/A",35,1020
5,23-Aug-1993 00:00:00,"N/A",35,1020
5,23-Aug-1993 06:00:00,"N/A",35,1020
4,23-Aug-1993 12:00:00,"N/A",29,1010
5,23-Aug-1993 12:00:00,"N/A",35,1020
4,23-Aug-1993 18:00:00,"N/A",35,1009
5,23-Aug-1993 18:00:00,"N/A",35,1020
4,24-Aug-1993 00:00:00,"N/A",35,1007
5,24-Aug-1993 00:00:00,"N/A",35,1020
4,24-Aug-1993 06:00:00,"N/A",35,1005
5,24-Aug-1993 06:00:00,"N/A",35,1020
4,24-Aug-1993 12:00:00,"N/A",40,1003
5,24-Aug-1993 12:00:00,"N/A",35,1020
4,24-Aug-1993 18:00:00,"N/A",46,1002
5,24-Aug-1993 18:00:00,"N/A",35,1019
4,25-Aug-1993 00:00:00,"N/A",52,1000
5,25-Aug-1993 00:00:00,"N/A",35,1018
4,25-Aug-1993 06:00:00,"N/A",52,1000
5,25-Aug-1993 06:00:00,"N/A",35,1017
4,25-Aug-1993 12:00:00,"N/A",52,1000
5,25-Aug-1993 12:00:00,"N/A",40,1016
4,25-Aug-1993 18:00:00,"N/A",52,1000
5,25-Aug-1993 18:00:00,"N/A",46,1015
4,26-Aug-1993 00:00:00,"N/A",52,1000
5,26-Aug-1993 00:00:00,"N/A",52,1013
4,26-Aug-1993 06:00:00,"N/A",52,1000
5,26-Aug-1993 06:00:00,"N/A",63,1010
4,26-Aug-1993 12:00:00,"N/A",52,1000
5,26-Aug-1993 12:00:00,"N/A",69,1007
4,26-Aug-1993 18:00:00,"N/A",46,1001
5,26-Aug-1993 18:00:00,"N/A",75,1004
4,27-Aug-1993 00:00:00,"N/A",46,1002
5,27-Aug-1993 00:00:00,"N/A",69,1000
4,27-Aug-1993 06:00:00,"N/A",40,1005
5,27-Aug-1993 06:00:00,"N/A",69,997
4,27-Aug-1993 12:00:00,"N/A",35,1006
5,27-Aug-1993 12:00:00,"N/A",69,992
4,27-Aug-1993 18:00:00,"N/A",29,1009
5,27-Aug-1993 18:00:00,"N/A",75,982
4,28-Aug-1993 00:00:00,"N/A",29,1009
5,28-Aug-1993 00:00:00,"N/A",86,981
4,28-Aug-1993 06:00:00,"N/A",29,1009
5,28-Aug-1993 06:00:00,"N/A",86,982
4,28-Aug-1993 12:00:00,"N/A",29,1010
5,28-Aug-1993 12:00:00,"N/A",86,981
5,28-Aug-1993 18:00:00,"N/A",86,976
5,29-Aug-1993 00:00:00,"N/A",81,973
5,29-Aug-1993 06:00:00,"N/A",81,978
5,29-Aug-1993 12:00:00,"N/A",81,979
5,29-Aug-1993 18:00:00,"N/A",81,978
5,30-Aug-1993 00:00:00,"N/A",81,977
5,30-Aug-1993 06:00:00,"N/A",81,976
5,30-Aug-1993 12:00:00,"N/A",86,975
5,30-Aug-1993 18:00:00,"N/A",86,974
5,31-Aug-1993 00:00:00,"N/A",92,972
5,31-Aug-1993 06:00:00,"N/A",98,970
5,31-Aug-1993 12:00:00,"N/A",109,965
5,31-Aug-1993 18:00:00,"N/A",115,962
5,01-Sep-1993 00:00:00,"N/A",115,960
5,01-Sep-1993 06:00:00,"N/A",115,962
5,01-Sep-1993 12:00:00,"N/A",109,965
5,01-Sep-1993 18:00:00,"N/A",104,969
5,02-Sep-1993 00:00:00,"N/A",104,971
5,02-Sep-1993 06:00:00,"N/A",104,972
5,02-Sep-1993 12:00:00,"N/A",104,973
5,02-Sep-1993 18:00:00,"N/A",98,974
5,03-Sep-1993 00:00:00,"N/A",92,975
5,03-Sep-1993 06:00:00,"N/A",86,979
5,03-Sep-1993 12:00:00,"N/A",81,985
5,03-Sep-1993 18:00:00,"N/A",69,994
5,04-Sep-1993 00:00:00,"N/A",58,999
5,04-Sep-1993 06:00:00,"N/A",46,1002
5,04-Sep-1993 12:00:00,"N/A",40,1001
5,04-Sep-1993 18:00:00,"N/A",35,1006
5,05-Sep-1993 00:00:00,"N/A",35,1008
5,05-Sep-1993 06:00:00,"N/A",35,1009
5,05-Sep-1993 12:00:00,"N/A",29,1010
5,05-Sep-1993 18:00:00,"N/A",29,1011
5,06-Sep-1993 00:00:00,"N/A",29,1012
5,06-Sep-1993 06:00:00,"N/A",29,1013
5,06-Sep-1993 12:00:00,"N/A",29,1014
6,07-Sep-1993 12:00:00,"N/A",29,1012
6,07-Sep-1993 18:00:00,"N/A",46,1010
6,08-Sep-1993 00:00:00,"N/A",52,1009
6,08-Sep-1993 06:00:00,"N/A",52,1011
6,08-Sep-1993 12:00:00,"N/A",46,1012
6,08-Sep-1993 18:00:00,"N/A",46,1011
6,09-Sep-1993 00:00:00,"N/A",46,1009
6,09-Sep-1993 06:00:00,"N/A",46,1007
6,09-Sep-1993 12:00:00,"N/A",58,997
6,09-Sep-1993 18:00:00,"N/A",75,990
6,10-Sep-1993 00:00:00,"N/A",75,990
6,10-Sep-1993 06:00:00,"N/A",75,990
6,10-Sep-1993 12:00:00,"N/A",75,990
6,10-Sep-1993 18:00:00,"N/A",75,990
6,11-Sep-1993 00:00:00,"N/A",75,989
6,11-Sep-1993 06:00:00,"N/A",75,988
6,11-Sep-1993 12:00:00,"N/A",75,987
6,11-Sep-1993 18:00:00,"N/A",75,986
6,12-Sep-1993 00:00:00,"N/A",75,983
6,12-Sep-1993 06:00:00,"N/A",75,980
6,12-Sep-1993 12:00:00,"N/A",81,972
6,12-Sep-1993 18:00:00,"N/A",81,966
6,13-Sep-1993 00:00:00,"N/A",81,966
7,14-Sep-1993 18:00:00,"N/A",29,1008
7,15-Sep-1993 00:00:00,"N/A",35,1005
7,15-Sep-1993 06:00:00,"N/A",35,1001
7,15-Sep-1993 12:00:00,"N/A",40,1001
7,15-Sep-1993 18:00:00,"Nicaragua",40,1005
7,16-Sep-1993 00:00:00,"Nicaragua",35,1006
7,16-Sep-1993 06:00:00,"Nicaragua",35,1006
7,16-Sep-1993 12:00:00,"Nicaragua",35,1006
7,16-Sep-1993 18:00:00,"Nicaragua",29,1006
7,17-Sep-1993 00:00:00,"Nicaragua",29,1006
7,17-Sep-1993 06:00:00,"Honduras",29,1006
7,17-Sep-1993 12:00:00,"Honduras",29,1006
7,17-Sep-1993 18:00:00,"N/A",40,1001
7,18-Sep-1993 00:00:00,"N/A",40,1000
7,18-Sep-1993 06:00:00,"Belize",40,1002
7,18-Sep-1993 12:00:00,"Mexico",35,1003
7,18-Sep-1993 18:00:00,"Mexico",35,1003
8,18-Sep-1993 18:00:00,"N/A",35,1014
7,19-Sep-1993 00:00:00,"N/A",35,1001
8,19-Sep-1993 00:00:00,"N/A",35,1013
7,19-Sep-1993 06:00:00,"N/A",40,1000
8,19-Sep-1993 06:00:00,"N/A",35,1012
7,19-Sep-1993 12:00:00,"N/A",46,993
8,19-Sep-1993 12:00:00,"N/A",35,1010
7,19-Sep-1993 18:00:00,"N/A",52,992
8,19-Sep-1993 18:00:00,"N/A",35,1009
7,20-Sep-1993 00:00:00,"N/A",63,990
8,20-Sep-1993 00:00:00,"N/A",35,1008
7,20-Sep-1993 06:00:00,"N/A",75,982
8,20-Sep-1993 06:00:00,"N/A",40,1005
7,20-Sep-1993 12:00:00,"N/A",92,978
8,20-Sep-1993 12:00:00,"N/A",58,998
7,20-Sep-1993 18:00:00,"N/A",98,970
8,20-Sep-1993 18:00:00,"N/A",75,990
7,21-Sep-1993 00:00:00,"Mexico",75,984
8,21-Sep-1993 00:00:00,"N/A",69,992
7,21-Sep-1993 06:00:00,"Mexico",46,1000
8,21-Sep-1993 06:00:00,"N/A",63,994
