Name,pos,GP,height,weight,minutes,points,oRebounds,dRebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade
Alaa Abdelnaby,F-C,256,82,240,12.5,5.72265625,1.10546875,2.19921875,0.33203125,0.27734375,0.2734375,0.96484375,1.890625,4.828125,2.421875,1.25390625,0.87890625,0.01171875,0
Mahmoud Abdul-Rauf,G,586,73,162,26.6689419795222,14.5955631399317,0.373720136518771,1.48122866894198,3.54778156996587,0.831058020477816,0.0784982935153584,1.64334470989761,1.88737201365188,13.5546075085324,5.99658703071672,1.98122866894198,1.79351535836177,2.28498293515358,0.808873720136519
Tariq Abdul-Wahad,G-F,236,78,223,20.3686440677966,7.75423728813559,1.21186440677966,2.07627118644068,1.1271186440678,0.779661016949153,0.351694915254237,1.30932203389831,2.05508474576271,7.3135593220339,3.05084745762712,2.24152542372881,1.57627118644068,0.322033898305085,0.076271186440678
Shareef Abdur-Rahim,F,830,81,225,34.7927710843373,18.1060240963855,2.25180722891566,5.26506024096386,2.54096385542169,0.987951807228916,0.768674698795181,2.5710843373494,2.8,13.8734939759036,6.54698795180723,5.95542168674699,4.82650602409639,0.625301204819277,0.185542168674699
Mark Acres,F-C,154,83,220,16.2857142857143,3.61688311688312,1.70779220779221,2.69480519480519,0.337662337662338,0.344155844155844,0.298701298701299,0.571428571428571,2.54545454545455,2.68831168831169,1.38311688311688,1.19480519480519,0.831168831168831,0.051948051948052,0.0194805194805195
Michael Adams,G,334,70,162,32.1826347305389,16.0059880239521,0.646706586826347,2.46706586826347,7.3502994011976,1.59281437125748,0.0898203592814371,2.52994011976048,2.02395209580838,13.2155688622754,5.38622754491018,4.4940119760479,3.8622754491018,4.41616766467066,1.37125748502994
Rafael Addison,F-G,317,79,215,15.7287066246057,5.76340694006309,0.697160883280757,1.42902208201893,0.927444794952681,0.381703470031546,0.239747634069401,0.706624605678233,1.8801261829653,5.41324921135647,2.4416403785489,0.930599369085173,0.712933753943218,0.615141955835962,0.167192429022082
Arron Afflalo,G,362,77,215,24.4502762430939,8.76519337016575,0.580110497237569,2.10220994475138,1.52209944751381,0.483425414364641,0.262430939226519,0.848066298342541,2.0414364640884,6.77348066298343,3.15745856353591,1.83977900552486,1.47237569060773,2.41160220994475,0.977900552486188
Mark Aguirre,F-G,243,78,232,22.6460905349794,11.8148148148148,1.11934156378601,2.49382716049383,1.94650205761317,0.559670781893004,0.189300411522634,1.52674897119342,2.37860082304527,10.1481481481481,4.56378600823045,3.07818930041152,2.25102880658436,1.33744855967078,0.436213991769547
Danny Ainge,G-F,383,76,175,21.9242819843342,9.91644908616188,0.488250652741514,1.61879895561358,2.9686684073107,0.804177545691906,0.12532637075718,1.15665796344648,2.12271540469974,8.03916449086162,3.63185378590078,1.66579634464752,1.37859007832898,3.42297650130548,1.27415143603133
LaMarcus Aldridge,F,434,83,240,34.9700460829493,17.8294930875576,2.80184331797235,4.72811059907834,1.76728110599078,0.815668202764977,0.993087557603687,1.51612903225806,2.85023041474654,14.7695852534562,7.30875576036866,4.07603686635945,3.16820276497696,0.200460829493088,0.043778801843318
