Car_Truck,EngDisp,RatedHP,Transmission,Drive,Weight,Comp,AxleRatio,EVSpeedRatio,AC,PRP,FuelType,City_Highway,Valves_Cyl,FuelEcon
car,1.4912261,76,AV,F,1474.174,13,4.11,25.7,N,1,23,city,4,3.5317504954955
car,1.3437422,110,AV,F,1417.475,10.8,4.94,29.1,N,31,61,highway,4,3.61868589230769
car,1.4912261,76,AV,F,1474.174,13,4.11,25.7,N,1,23,highway,4,3.62985467592593
car,1.3437422,110,AV,F,1417.475,10.8,4.94,29.1,N,31,61,city,4,4.3079593956044
car,1.802581,126,M5,F,1304.077,10,3.94,40,N,31,61,highway,4,4.46327481973435
car,1.802581,126,M5,F,1304.077,10,3.94,40.9,N,31,61,highway,4,4.48882791984733
car,1.802581,140,L5,F,1360.776,10.5,4.44,32.6,N,31,61,highway,4,4.50602649425287
car,1.4912261,106,M5,F,1190.679,10.5,3.72,44.9,N,32,23,highway,4,4.53207289017341
car,1.4912261,106,M5,F,1190.679,10.5,3.72,46,N,32,61,highway,4,4.58507959064328
car,1.6059358,120,M6,F,1304.077,11,4.35,43,Y,31,61,highway,4,4.63020832677165
car,1.802581,113,L5,F,1474.174,12.5,4.44,32.6,N,1,41,highway,4,4.65771451485149
car,1.802581,140,L5,F,1417.475,10.5,4.44,32.6,N,1,61,highway,4,4.69490185628742
car,1.4912261,106,M5,F,1190.679,10.5,3.72,44.9,N,1,23,highway,4,4.70429166
car,1.4912261,106,L4,F,1190.679,10.5,4.24,44,N,32,61,highway,4,4.73268778672032
car,1.4912261,109,L5,F,1304.077,10.4,4.56,38.1,N,31,61,highway,4,4.77108687626775
car,1.6059358,110,L4,F,1247.378,10,4.04,42,N,31,61,highway,4,4.78078420731707
car,1.6059358,110,L4,F,1247.378,10,4.04,51,N,31,61,highway,4,4.78078420731707
car,1.802581,126,L4,F,1304.077,10,2.96,36.9,N,31,61,highway,4,4.78078420731707
car,1.802581,126,L4,F,1304.077,10,2.96,37.8,N,31,61,highway,4,4.81011417177914
